Date Scraped,Title,news_summary,news_card_image,Date Published,Link,Publication,Author,text,id,predicted_category,similarity,cluster,cluster_size
2025-05-12,audi cost cutting could see it sell italdesign - report,"the company behind automotive icons, such as the volkswagen golf, fiat uno, bmw m1 and dmc delorean, could be sold by audi.",https://images.7news.com.au/publication/C-18650485/def7314ff1a16686242f3180fbfd1aeaeec1c5ed-16x9-x0y207w3973h2235.jpg,11/05/2025,https://7news.com.au/motoring/audi-cost-cutting-could-see-it-sell-italdesign-report-c-18650485,7news.com.au,derek fung,"audi cost cutting could see it sell italdesign - report 

 the company behind automotive icons, such as the volkswagen golf, fiat uno, bmw m1 and dmc delorean, could be sold by audi.",0,music,0.5355744361877441,1,412
2025-05-12,"superquiz, sunday, may 11",nil,"https://static.ffx.io/images/$zoom_0.9819,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_1,$y_240/t_crop_custom/q_86,e_sharpen:60,f_auto/24d8c9ba98147348592ea2ed292e48328b593d46",10/05/2025,https://www.smh.com.au/national/superquiz-sunday-may-11-20250507-p5lxep.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"superquiz, sunday, may 11 

 ",1,sports,0.47550854086875916,1,412
2025-05-12,gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs,the prized recruit celebrated his darwin homecoming in style.,https://images.7news.com.au/publication/C-18649951/76be1c8e34db2264147a6bcacb35f9d614e7e0d8-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/gold-coast-recruit-daniel-rioli-emotional-after-leading-suns-to-stunning-win-over-western-bulldogs-c-18649951,7news.com.au,murray wenzel,"gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs 

 the prized recruit celebrated his darwin homecoming in style.",2,sports,0.5318103432655334,1,412
2025-05-12,unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown,an unheralded defender stepped up to save his side in the final minute of a pulsating thriller.,https://images.7news.com.au/publication/C-18649697/88dd6cb0a1439b6d3a2c7b6abb3fec7369ce7516-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/unlikely-hero-mark-keane-produces-one-of-the-great-marks-to-help-crows-win-epic-showdown-c-18649697,7news.com.au,ben sutton,"unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown 

 an unheralded defender stepped up to save his side in the final minute of a pulsating thriller.",3,sports,0.5419445037841797,1,412
2025-05-12,wallabies star noah lolesio stretchered off with suspected spinal injury,‘it wasn’t a great sign that he was holding the green whistle.’,https://images.7news.com.au/publication/C-18649387/ec31b6034f04d7c90ee07c636eb060bd7f2c7d3e-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/rugby-union/wallabies-superstar-noah-lolesio-stretchered-off-with-suspected-spinal-injury-c-18649387,7news.com.au,darren walton,"wallabies star noah lolesio stretchered off with suspected spinal injury 

 ‘it wasn’t a great sign that he was holding the green whistle.’",4,sports,0.5474182367324829,1,412
2025-05-12,aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final,the veterans had to settle for runner-up trophies after an epic day of action.,https://images.7news.com.au/publication/C-18645294/f1f26c310a4c27728ba7fd56798aac7f454b51f7-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/surfing/aussie-duo-sally-fitzgibbons-and-julian-wilson-fall-short-in-gold-coast-pro-final-c-18645294,7news.com.au,melissa woods,"aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final 

 the veterans had to settle for runner-up trophies after an epic day of action.",5,sports,0.5028330087661743,1,412
2025-05-12,mutual respect is the foundation of our democracy,nil,"https://static.ffx.io/images/$zoom_0.2428,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_34,$y_0/t_crop_custom/q_86,f_auto/5b9aa3f98f5d9b37a2444ece5159b3e43d378b41",10/05/2025,https://www.smh.com.au/national/nsw/mutual-respect-is-the-foundation-of-our-democracy-20250504-p5lwd3.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"mutual respect is the foundation of our democracy 

 ",6,politics,0.4525560140609741,1,412
2025-05-12,stars help struggling footy team to a win,nil,,10/05/2025,https://www.youtube.com/watch?v=GNIaplFTZ0w,9news australia,9 news australia,"stars help struggling footy team to a win 

 ",7,sports,0.410894513130188,1,412
2025-05-12,paralysed teenager’s inspiring path to recovery,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/d0feb94e759e33168e0936b6e6244e0e0951e79b",10/05/2025,https://www.smh.com.au/national/paralysed-teenager-s-inspiring-path-to-recovery-20250510-p5ly5f.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"paralysed teenager’s inspiring path to recovery 

 ",8,sports,0.5083000063896179,1,412
2025-05-12,pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=Bt7FJbfq_Gs,9news australia,9 news australia,"pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia 

 ",9,politics,0.4671642780303955,0,32
2025-05-12,australia weather update: mothers day weather forecast | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=giCnx3JSPqE,9news australia,9 news australia,"australia weather update: mothers day weather forecast | 9 news australia 

 ",10,sports,0.4809798002243042,1,412
2025-05-12,"country music star johnny rodriguez has died, aged 73",the star’s daughter told fans the sad news in an emotional farewell to her father.,https://images.7news.com.au/publication/C-18648423/caf088f899d424732b2a78672770cee84e7eda85-16x9-x0y98w1514h851.jpg,10/05/2025,https://7news.com.au/sunrise/entertainment/country-music-star-johnny-rodriguez-has-died-aged-73-c-18648423,7news.com.au,caleb taylor,"country music star johnny rodriguez has died, aged 73 

 the star’s daughter told fans the sad news in an emotional farewell to her father.",11,music,0.4706980884075165,1,412
2025-05-12,jamie melham goes back-to-back in the goodwood with victory on reserve bank ,"the champion jockey triumphed on reserve bank, 12 months after winning the morphettville feature on benedetta.",https://images.7news.com.au/publication/C-18648861/1d57684e261f7f9978372ec8e1725bfeb90c4a77-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/horse-racing/jamie-melham-goes-back-to-back-in-the-goodwood-with-victory-on-reserve-bank--c-18648861,7news.com.au,craig brennan,"jamie melham goes back-to-back in the goodwood with victory on reserve bank  

 the champion jockey triumphed on reserve bank, 12 months after winning the morphettville feature on benedetta.",12,sports,0.5675159692764282,1,412
2025-05-12,trump vs chinese: the unexpected victim of the tariff war that will (literally) blow up,nil,,10/05/2025,https://www.youtube.com/watch?v=Quz7RFEAikM,the australian,the australian,"trump vs chinese: the unexpected victim of the tariff war that will (literally) blow up 

 ",13,politics,0.479523241519928,1,412
2025-05-12,anyone for pope-eroni?,nil,,10/05/2025,https://www.youtube.com/watch?v=hcdqAIJDKwU,9news australia,9 news australia,"anyone for pope-eroni? 

 ",14,politics,0.496062695980072,0,32
2025-05-12,brownlow medal fancy zach merrett faces nervous wait after high shot during essendon’s win over sydney,the superstar will come under scrutiny for the incident that left his opponent needing a concussion test.,https://images.7news.com.au/publication/C-18648437/e119389f9cfc39337926df5e51a655590a397a5a-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/brownlow-medal-fancy-zach-merrett-faces-nervous-wait-after-high-shot-during-essendons-win-over-sydney-c-18648437,7news.com.au,ben sutton,"brownlow medal fancy zach merrett faces nervous wait after high shot during essendon’s win over sydney 

 the superstar will come under scrutiny for the incident that left his opponent needing a concussion test.",15,sports,0.5127261877059937,1,412
2025-05-12,"large rallies held protesting sexual violence, anger that crisis not properly addressed during election",nil,https://i.guim.co.uk/img/media/2eed384f90d0aa3a3576251ca845c35083c67431/239_0_2388_1911/master/2388.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=30ad900b464300e72bc24153166e2879,10/05/2025,https://www.theguardian.com/society/2025/may/10/large-rallies-held-protesting-sexual-violence-anger-that-crisis-not-properly-addressed-during-election,australia news | the guardian,australian associated press,"large rallies held protesting sexual violence, anger that crisis not properly addressed during election 

 ",16,politics,0.40078336000442505,1,412
2025-05-12,pakistan launches retaliatory strikes against india as conflict intensifies | abc news,nil,,10/05/2025,https://www.youtube.com/watch?v=VxKgxJa2BPA,abc news (australia),abc news (australia),"pakistan launches retaliatory strikes against india as conflict intensifies | abc news 

 ",17,politics,0.45980629324913025,1,412
2025-05-12,"‘the right lane is faster’, and other thoughts i don’t appreciate in a traffic jam",nil,"https://static.ffx.io/images/$zoom_0.44834885690093135,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_0/t_crop_custom/q_86,f_auto/96554da44fd599db579caf5410a291a3daa2b2f2",10/05/2025,https://www.smh.com.au/national/the-right-lane-is-faster-and-other-thoughts-i-don-t-appreciate-in-a-traffic-jam-20250508-p5lxkb.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,thomas mitchell,"‘the right lane is faster’, and other thoughts i don’t appreciate in a traffic jam 

 ",18,politics,0.5272328853607178,1,412
2025-05-12,tenant charged with murder after landlord allegedly stabbed to death,nil,"https://static.ffx.io/images/$zoom_0.7066029239766082,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_30,$y_71/t_crop_custom/q_86,f_auto/c37adaba6814ef9f7c1f2906ba3ac40f05bc90e7",10/05/2025,https://www.smh.com.au/national/nsw/tenant-charged-with-murder-after-landlord-allegedly-stabbed-to-death-20250510-p5ly4y.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,sarah mcphee,"tenant charged with murder after landlord allegedly stabbed to death 

 ",19,politics,0.5472856760025024,1,412
2025-05-12,three men rescued after boat capsizes near geelong,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/1f366539cc6de1066c7fa80ad30bebdd6632882a",10/05/2025,https://www.smh.com.au/national/three-men-rescued-after-boat-capsizes-near-geelong-20250510-p5ly59.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"three men rescued after boat capsizes near geelong 

 ",20,politics,0.5310599207878113,1,412
2025-05-12,family demands answers after woman hit by van,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/9b19aa0bf062675d553156ef8614bd813fd0bef9",10/05/2025,https://www.smh.com.au/national/family-demands-answers-after-woman-hit-by-van-20250510-p5ly56.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"family demands answers after woman hit by van 

 ",21,politics,0.5056822896003723,1,412
