id,Title,text,predicted_category,similarity,cluster,cluster_size,title_lc,is_priority,highlight_score
0,audi cost cutting could see it sell italdesign - report,"audi cost cutting could see it sell italdesign - report 

 the company behind automotive icons, such as the volkswagen golf, fiat uno, bmw m1 and dmc delorean, could be sold by audi.",music,0.5355744361877441,1,412,audi cost cutting could see it sell italdesign - report,False,412
1,"superquiz, sunday, may 11","superquiz, sunday, may 11 

 nil",sports,0.5047941207885742,1,412,"superquiz, sunday, may 11",False,412
2,gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs,"gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs 

 the prized recruit celebrated his darwin homecoming in style.",sports,0.5318103432655334,1,412,gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs,False,412
3,unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown,"unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown 

 an unheralded defender stepped up to save his side in the final minute of a pulsating thriller.",sports,0.5419445037841797,1,412,unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown,False,412
4,wallabies star noah lolesio stretchered off with suspected spinal injury,"wallabies star noah lolesio stretchered off with suspected spinal injury 

 ‘it wasn’t a great sign that he was holding the green whistle.’",sports,0.5474182367324829,1,412,wallabies star noah lolesio stretchered off with suspected spinal injury,False,412
5,aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final,"aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final 

 the veterans had to settle for runner-up trophies after an epic day of action.",sports,0.5028330087661743,1,412,aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final,False,412
6,mutual respect is the foundation of our democracy,"mutual respect is the foundation of our democracy 

 nil",politics,0.45740896463394165,1,412,mutual respect is the foundation of our democracy,False,412
7,stars help struggling footy team to a win,"stars help struggling footy team to a win 

 nil",sports,0.44706761837005615,1,412,stars help struggling footy team to a win,False,412
8,paralysed teenager’s inspiring path to recovery,"paralysed teenager’s inspiring path to recovery 

 nil",sports,0.5111482739448547,1,412,paralysed teenager’s inspiring path to recovery,False,412
9,pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia,"pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia 

 nil",politics,0.467128187417984,0,32,pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia,False,32
